original_title,release_date
Dr. Dolittle 2,6/22/01
Braveheart,5/24/95
Jarhead,11/4/05
The Simpsons Movie,7/25/07
The Majestic,12/21/01
Driven,4/27/01
Deux frères,4/7/04
The Village,7/30/04
Doctor Dolittle,6/22/98
Signs,8/2/02
Shrek 2,5/19/04
Cars,6/8/06
Runaway Bride,7/30/99
xXx,8/9/02
The SpongeBob Movie: Sponge Out of Water,2/5/15
Ransom,11/8/96
Inglourious Basterds,8/18/09
Hook,12/11/91
Die Hard 2,7/2/90
S.W.A.T.,8/8/03
Vanilla Sky,12/10/01
Lady in the Water,7/21/06
AVP: Alien vs. Predator,8/12/04
Alvin and the Chipmunks: The Squeakquel,12/21/09
We Were Soldiers,3/1/02
Olympus Has Fallen,3/20/13
Star Trek: Insurrection,12/10/98
Battle: Los Angeles,3/8/11
Big Fish,12/25/03
Wolf,6/17/94
War Horse,12/25/11
The Monuments Men,1/24/14
The Abyss,8/9/89
Wall Street: Money Never Sleeps,9/2/10
Dracula Untold,10/1/14
The Siege,11/6/98
Stardust,8/9/07
Seven Years in Tibet,9/12/97
The Dilemma,1/13/11
Bad Company,6/7/02
Doom,10/20/05
I Spy,10/31/02
Underworld: Awakening,1/19/12
Rock of Ages,6/13/12
Hart's War,2/15/02
Killer Elite,9/23/11
Rollerball,2/8/02
Ballistic: Ecks vs. Sever,9/20/02
Hard Rain,1/16/98
Osmosis Jones,8/7/01
Legends of Oz: Dorothy's Return,6/13/13
Blackhat,1/13/15
Sky Captain and the World of Tomorrow,9/17/04
Basic Instinct 2,3/29/06
Escape Plan,10/9/13
The Legend of Hercules,1/10/14
The Sum of All Fears,5/31/02
The Twilight Saga: Eclipse,6/23/10
The Score,7/13/01
Despicable Me,7/8/10
Money Train,11/21/95
Ted 2,6/25/15
Agora,5/17/09
Mystery Men,8/6/99
Hall Pass,2/25/11
The Insider,10/28/99
The Finest Hours,1/25/16
Body of Lies,10/10/08
Dinner for Schmucks,7/30/10
Abraham Lincoln: Vampire Hunter,6/20/12
Entrapment,4/29/99
The X Files,6/19/98
The Last Legion,4/19/07
Saving Private Ryan,7/24/98
Need for Speed,3/13/14
What Women Want,12/15/00
Ice Age,3/10/02
Dreamcatcher,3/21/03
Lincoln,11/9/12
The Matrix,3/30/99
Apollo 13,6/30/95
The Santa Clause 2,10/31/02
Les Misérables,12/18/12
You've Got Mail,12/17/98
Step Brothers,7/25/08
The Mask of Zorro,7/16/98
Due Date,11/4/10
Unbroken,12/25/14
Space Cowboys,7/31/00
Cliffhanger,5/28/93
Broken Arrow,2/9/96
The Kid,7/7/00
World Trade Center,8/9/06
Mona Lisa Smile,12/19/03
The Dictator,5/15/12
Eyes Wide Shut,7/14/99
Annie,12/19/14
Focus,2/25/15
This Means War,2/14/12
Blade: Trinity,12/8/04
Red Dawn,8/10/84
Primary Colors,3/20/98
Resident Evil: Retribution,9/12/12
Death Race,8/22/08
The Long Kiss Goodnight,10/11/96
Proof of Life,12/8/00
Zathura: A Space Adventure,11/6/05
Fight Club,10/15/99
We Are Marshall,12/12/06
Hudson Hawk,5/23/91
Lucky Numbers,10/27/00
"I, Frankenstein",1/22/14
Oliver Twist,9/23/05
Elektra,1/13/05
Sin City: A Dame to Kill For,8/20/14
Random Hearts,10/8/99
Everest,9/10/15
Perfume: The Story of a Murderer,9/13/06
Austin Powers in Goldmember,7/26/02
Astro Boy,10/15/09
Jurassic Park,6/11/93
Wyatt Earp,6/24/94
Clear and Present Danger,8/3/94
天將雄師,2/19/15
Little Man,8/31/06
U-571,4/20/00
The American President,11/17/95
The Love Guru,6/20/08
3000 Miles to Graceland,2/23/01
The Hateful Eight,12/25/15
Blades of Glory,3/30/07
Hop,3/30/11
300,12/9/06
Meet the Fockers,12/22/04
Marley & Me,12/25/08
The Green Mile,12/10/99
Wild Hogs,3/2/07
Chicken Little,11/4/05
Gone Girl,10/1/14
The Bourne Identity,6/14/02
GoldenEye,11/16/95
The General's Daughter,6/18/99
The Truman Show,6/4/98
The Prince of Egypt,12/15/98
Daddy Day Care,5/3/03
2 Guns,8/2/13
Cats & Dogs,7/4/01
The Italian Job,5/30/03
Two Weeks Notice,12/19/02
Antz,10/2/98
Couples Retreat,9/19/09
Days of Thunder,6/27/90
Cheaper by the Dozen 2,12/21/05
Maze Runner: The Scorch Trials,9/9/15
Eat Pray Love,8/12/10
The Family Man,12/12/00
RED,10/13/10
Any Given Sunday,12/16/99
The Horse Whisperer,5/14/98
Collateral,8/4/04
The Scorpion King,4/16/02
Ladder 49,10/1/04
Jack Reacher,12/20/12
Deep Blue Sea,7/28/99
Michael Jackson's This Is It,10/28/09
Contagion,9/8/11
Kangaroo Jack,1/17/03
Coraline,2/5/09
The Happening,6/11/08
Man on Fire,4/23/04
The Shaggy Dog,3/9/06
Starsky & Hutch,3/5/04
Jingle All the Way,11/15/96
Hellboy,4/2/04
A Civil Action,3/5/98
ParaNorman,8/3/12
The Jackal,11/14/97
Paycheck,12/25/03
Up Close & Personal,3/1/96
The Tale of Despereaux,12/19/08
The Tuxedo,9/27/02
Under Siege 2: Dark Territory,7/13/95
Jack Ryan: Shadow Recruit,1/15/14
Joy,12/24/15
London Has Fallen,3/2/16
Alien: Resurrection,11/12/97
Shooter,3/22/07
The Boxtrolls,9/10/14
Practical Magic,10/16/98
The Lego Movie,2/6/14
Miss Congeniality 2: Armed and Fabulous,3/11/05
Reign of Fire,7/12/02
Gangster Squad,1/10/13
Year One,6/18/09
Invictus,12/10/09
State of Play,4/17/09
Duplicity,3/19/09
My Favorite Martian,2/11/99
The Sentinel,4/19/06
Planet 51,11/19/09
Star Trek: Nemesis,12/13/02
Intolerable Cruelty,9/2/03
Trouble with the Curve,9/21/12
Edge of Darkness,1/29/10
The Relic,1/10/97
Analyze That,12/6/02
Righteous Kill,9/11/08
Mercury Rising,4/3/98
The Soloist,4/24/09
